stat_names,flute_1,flute_2,flute_3
Force_X_min,-0.9192399917478865,-0.9602450045251144,-0.9775321069610471
Force_X_max,0.9314346601842926,0.9615540700056036,0.9809766195831978
Force_X_mean,0.9568259948519175,0.9529283499902153,0.9758677365242442
Force_X_std,0.9234957311306777,0.9617398041494247,0.9796226346847448
Force_X_skew,-0.5359739200399932,-0.40537599812381575,-0.42339942447181433
Force_X_kurtosis,-0.7244346550025899,-0.5770484327730903,-0.6353861285904118
Force_X_energy,0.8735519713631845,0.9446024193983511,0.9553889495507453
Force_X_zero_crossings,0.7196820683204944,0.6307259049470223,0.6986250143093707
Force_Y_min,-0.9174955474452946,-0.9521524477062842,-0.9591946129258151
Force_Y_max,0.9497595899408316,0.9604044627164979,0.965097190652656
Force_Y_mean,0.9344331913392623,0.913621370478696,0.9295496635712496
Force_Y_std,0.9141841180405984,0.9739490489087185,0.9798676119999622
Force_Y_skew,-0.7544026356086863,-0.7043914577830227,-0.7561222398469388
Force_Y_kurtosis,-0.7082622087293191,-0.765803143931357,-0.7867402814552494
Force_Y_energy,0.9143666244055615,0.9656175991628367,0.9782961806992757
Force_Y_zero_crossings,0.6271560664906888,0.7040701923356135,0.731563726541772
Force_Z_min,-0.9347157741726492,-0.940316428366236,-0.9689734055890827
Force_Z_max,0.9623556694067991,0.9660999939387065,0.9855936649212546
Force_Z_mean,0.9345916788292497,0.9629076675670208,0.9644912596829297
Force_Z_std,0.9595833191310149,0.9608784523119658,0.9832776112822442
Force_Z_skew,0.7637637639395595,0.6418624529230981,0.6547059600502529
Force_Z_kurtosis,0.13120001273939122,0.09861385981596008,0.1546679932753165
Force_Z_energy,0.9179969722206447,0.9608181864765267,0.9792838979199766
Force_Z_zero_crossings,0.6231895130549111,0.7536116531705127,0.7435910317185698
Vibration_X_min,-0.9239033731874249,-0.9345550907930874,-0.9581688300461545
Vibration_X_max,0.9282632992295529,0.9241861139812311,0.9540647996237578
Vibration_X_mean,-0.0036041266919877566,-0.011188324257913107,-0.0014720205213025715
Vibration_X_std,0.9373066939276173,0.9411312144722895,0.961130198061251
Vibration_X_skew,0.2669679467789328,0.23401158178936324,0.2439837494418613
Vibration_X_kurtosis,0.7682371511828651,0.6418335806006328,0.6911602852545791
Vibration_X_energy,0.912312962963159,0.9467357889506673,0.9593891918490693
Vibration_X_zero_crossings,0.7644965908728802,0.6593616848174461,0.7031760260388779
Vibration_Y_min,-0.8934390749169937,-0.901665577225503,-0.9386773748448518
Vibration_Y_max,0.9251035485739396,0.9110322768207666,0.9403279542833409
Vibration_Y_mean,-0.027870758129992332,-0.041350123285380964,-0.029483557707415068
Vibration_Y_std,0.9409509249951367,0.9266541485172031,0.9505988079938464
Vibration_Y_skew,0.6412182235828919,0.6868720903646305,0.7104405854367246
Vibration_Y_kurtosis,0.7624659285747947,0.7047048205845357,0.7550424235623489
Vibration_Y_energy,0.9135891872323775,0.9305126549581382,0.9516142204103576
Vibration_Y_zero_crossings,0.4622871676481934,0.40509938975572685,0.46313437571494565
Vibration_Z_min,-0.9285224760785116,-0.9544225112393396,-0.9683046501992648
Vibration_Z_max,0.9357934140738646,0.9507089562022422,0.9691817065135558
Vibration_Z_mean,-0.034094119947613105,-0.04346446543760006,-0.03302008867006406
Vibration_Z_std,0.9228380081773255,0.9653445820125737,0.9794093036830456
Vibration_Z_skew,-0.5952166573178969,-0.6342927516124467,-0.6664092223134964
Vibration_Z_kurtosis,0.0812234219639058,-0.06481873559718179,-0.0600184130301145
Vibration_Z_energy,0.8847592545094498,0.953499027172938,0.9626402150513801
Vibration_Z_zero_crossings,-0.6498319081787162,-0.7952449163674321,-0.7754536268709612
AE_RMS_min,0.01935427530673427,0.00037455525973513015,0.00691013293915679
AE_RMS_max,0.5988073145379298,0.6476786909555745,0.629325777098552
AE_RMS_mean,0.5556561855530449,0.625644518444886,0.5829560021110316
AE_RMS_std,0.49380719496878633,0.5239080632983529,0.5181299820662155
AE_RMS_skew,-0.06089361696441149,-0.15558781386543025,-0.10464403537333762
AE_RMS_kurtosis,0.5185810069530222,0.4763219148501313,0.4839892786575027
AE_RMS_energy,0.5248009445514564,0.5832332439220007,0.5394008057171898
AE_RMS_zero_crossings,-0.12355552903234461,-0.16239326302387289,-0.1355567468537398
